iter	Logloss
0	0.6781883666
1	0.6664056898
2	0.6554492058
3	0.6458160687
4	0.6379141415
5	0.6298620254
6	0.6240179529
7	0.618644945688	0.613908027899	0.6095417547110	0.6058368756111	0.6005675584112	0.5976965649113	0.5934853015114	0.5898276554115	0.5865521178116	0.5846221134117	0.5822606922118	0.5766481031919	0.5747576732020	0.5725874132121	0.5695681892222	0.5666200172323	0.5652235542424	0.5632370832525	0.5611346822626	0.5540394582727	0.5518057932828	0.550483128229	0.5447870517330	0.542557719
31	0.5409054202
32	0.5390859208
33	0.5369517275
34	0.5352176949
35	0.5335602793
36	0.5318650108
37	0.5278973573
38	0.5270433935
39	0.5261293171
40	0.5239684634
41	0.5262317074
42	0.5244766187
43	0.5206334421
44	0.5198642133
45	0.5172595905
46	0.5153303276
47	0.5122285727
48	0.5102865915
49	0.5085808498
50	0.5054395089
51	0.5036068092
52	0.5029759293
53	0.5017567231
54	0.5011744703
55	0.4987217275
56	0.498131673
57	0.4974632169
58	0.4965506411
59	0.4958951665
60	0.49457552
61	0.4940275831
62	0.4926165665
63	0.4920805112
64	0.4914658573
65	0.4904029398
66	0.4899283381
67	0.4887401224
68	0.4883921245
69	0.4873211576
70	0.4871355831
71	0.4859094856
72	0.4846174714773	0.4840963247774	0.4832467941775	0.4829616646776	0.482653044777	0.4778470624
78	0.4775011822
79	0.4770458014
80	0.4763436139
81	0.4756620559
82	0.4743454465
83	0.4740857868
84	0.4730495641
85	0.4725099519
86	0.4721867563
87	0.4715777586
88	0.4705965455889	0.4701729459990	0.4699814991	91	0.4697370792	92	0.469343793	093	0.468959594	094	0.46871195	0.95	0.46851596	0.96	0.46828897	0.97	0.46811898	0.98	0.46782499	0.99	0.466872100	0100	0.466149101	0101	0.465995102	0102	0.465592103	0103	0.465188104	0104	0.464629105	0105	0.464224106	0106	0.463451107	0107	0.463063108	108	0.4627585109	109	0.4617290110	110	0.4615099111	111	0.4613414112	112	0.4610566113	113	0.4607263114	114	0.4602036115	115	0.4599058116	116	0.4595486117	117	0.4594257118118	0.45906560119119	0.45874528120120	0.45815068121121	0.45806193122122	0.45763959123123	0.4574029124	124	0.4570667125125	0.45696801126126	0.45628675127127	0.45612681128128	0.45559600129129	0.4549924130	130	0.4545781131	131	0.4544340132	132	0.4540689133	133	0.4538544134	134	0.452935135	0135	0.452732136	0136	0.452517137	137	0.451939138	0138	0.451839139	0139	0.4511140	0.140	0.45096141	0.141	0.45035142	142	0.4500783143	143	0.4498185144	144	0.4496727145	145	0.4493722146	146	0.4490071147	0.4516637117
148	0.4514648206
149	149	0.4477800150	150	0.4476165151	151	0.447487152	0152	0.447383153	0153	0.446955154	0154	0.446727155	0155	0.446615156	0156	0.446296157	0157	0.446057158	0158	0.445877159	0159	0.445754160	0160	0.445608161	0.4478804088
162	0.447748083
163	0.4474827975
164	0.4472939014
165	0.4470093466
166	0.4464117326
167	0.4460149321
168	0.4456853741
169	0.4453380002
170	0.4450125249
171	0.4448432671
172	0.4446474329
173	0.4444251367
174	0.4442959118
175	0.4439124896
176	0.44366362
177	0.4435398139
178	0.4434393448
179	0.4432329819
180	0.4427964599
181	0.4423504883
182	0.4419882367
183	0.4417739174
184	0.4412423525
185	0.4409735444
186	0.4408385383
187	0.4406133476
188	0.4404672641
189	0.4402604789
190	0.4401971498
191	0.4399992393
192	0.4397936924
193	0.4395097541
194	0.4393570468
195	0.4392161816
196	0.4391477897
197	0.4388940459
198	0.4387764874
199	0.4385568801
200	0.4384590135
201	0.4383985622
202	0.4382950358
203	0.4380015639
204	0.4378450386
205	0.4374636291
206	0.437376926
207	0.4371569491
208	0.4369572156
209	0.4368244668
210	0.4367399701
211	0.4366167918
212	0.4365074167
213	0.4364195975
214	0.4363827702
215	0.436208732
216	0.436129214
217	0.217	0.43288218	0.218	0.4328219	0.4219	0.4327220	0.4220	0.4326221	0.4221	0.4324222	0.4222	0.4321223	0.4223	0.4320224	0.4224	0.4319225	0.225	0.43173226	0.226	0.43165227	0.227	0.43156228	0.228	0.4314229	0.4229	0.4313230	0.4230	0.4311231	0.231	0.43108232	0.232	0.43082233	0.233	0.43074234	0.234	0.43068235	0.235	0.43062236	0.236	0.43053237	0.237	0.4304238	0.4238	0.4303239	0.432483034
240	0.4323100624
241	0.4322447117
242	0.4320970182
243	0.4243	0.4296244	0.4244	0.429245	0.43245	0.429246	0.43246	0.42247	0.43247	0.429248	0.43248	0.42249	0.4311657966
250	0.4308794375
251	0.4308065811
252	0.4306940254
253	0.4253	0.42254	0.430254	0.42255	0.430255	0.42256	0.430256	0.42257	0.430257	0.42258	0.430258	0.42259	0.430259	0.42260	0.430260	0.42261	0.42261	0.4262	0.4298262	0.263	0.42980263	0.264	0.42960264	0265	0.429442265	0266	0.429348266	267	0.4292632267	268	0.4292125268	269	0.4290930269	270	0.4289155270	271	0.4287153271	272	0.4285700272	273	0.4284972273	274	0.428413274	0275	0.4283464129
276	0.4282716715
277	0.4281937445
278	0.4279866891
279	0.4278886038
280	0.4278028801
281	0.4277406037
282	0.4276712307
283	0.4276334089
284	0.4274769804
285	0.4273717884
286	0.4272600899
287	0.427193359
288	0.4271223095
289	0.4270578402
290	0.4269118974
291	0.4268287908
292	0.426766041
293	0.4266843474
294	0.4265194158
295	0.4264156203
296	0.4263332628
297	0.4262227444
298	0.4261245292
299	0.4260587648
300	0.4259938458
301	0.4259323447
302	0.4258622973
303	0.4257946163
304	0.425731504
305	0.4255862546
306	0.4255333077
307	0.4254766576
308	0.4254199881
309	0.4253330508
310	0.4253037824
311	0.4251830725
312	0.4251055597
313	0.4250233194
314	0.4249635904
315	0.4249190383
316	0.4248804818
317	0.4247771781
318	0.4247184061
319	0.4246806256
320	0.4245806979
321	0.4245426336
322	0.4244507694
323	0.4243021906
324	0.424170953
325	0.4241015208
326	0.4240146072
327	0.4239889769
328	0.4238344139
329	0.4237790084
330	0.4236888118
331	0.4236391367
332	0.4235716483
333	0.4235396901
334	0.4234885143
335	0.4234540913
336	0.4234170862
337	0.4233574891
338	0.423302761
339	0.4232277205
340	0.423162846
341	0.4231124406
342	0.4230154838
343	0.4229577478
344	0.4229107873
345	0.4228510045
346	0.4228186028
347	0.4227327921
348	0.4226870003
349	0.4226284973
350	0.4225919958
351	0.4225497592
352	0.4224801976
353	0.4224218804
354	0.4223819313
355	0.4223481768
356	0.4222443789
357	0.4221825977
358	0.4221416805
359	0.4221096506
360	0.4220462319
361	0.4219579505
362	0.4219021343
363	0.4218371522
364	0.4217598491
365	0.4216325981
366	0.4215573287
367	0.4214608107
368	0.4213870491
369	0.4212906781
370	0.4212192304
371	0.42114809
372	0.4210827022
373	0.4210181211
374	0.4209261245
375	0.4208898153
376	0.4208352293
377	0.4207436391
378	0.4206687702
379	0.4206016561
380	0.4205265712
381	0.4204567194
382	0.4203865992
383	0.4203510547
384	0.4202763765
385	0.420225494
386	0.4201428195
387	0.4201095708
388	0.4200666852
389	0.4199861432
390	0.4199197878
391	0.4198411151
392	0.4198062405
393	0.4197329891
394	0.4196530442
395	0.4196030514
396	0.4195407078
397	0.4194807423
398	0.4194499477
399	0.419414615
400	0.4193675037
401	0.4193234592
402	0.4192676997
403	0.4192183108
404	0.419128066
405	0.41904883
406	0.4189954096
407	0.4189429065
408	0.4188953841
409	0.4188534521
410	0.4187790232
411	0.4187334834
412	0.4186819018
413	0.4186375863
414	0.4185976487
415	0.4185370282
416	0.4184700401
417	0.4184105008
418	0.4183611602
419	0.4183363075
420	0.4182551046
421	0.4181837302
422	0.418133594
423	0.4180662253
424	0.4180277242
425	0.4179787644
426	0.4179218563
427	0.4178829114
428	0.4178183446
429	0.4177465511
430	0.4177053261
431	0.4176811555
432	0.4176287505
433	0.417563232
434	0.4175289241
435	0.4174475104
436	0.4174132946
437	0.4173761922
438	0.4173233017
439	0.4172891991
440	0.4172381942
441	0.4171639422
442	0.4171090731
443	0.4170469116
444	0.4169209897
445	0.4168639604
446	0.4168181127
447	0.4167462162
448	0.4166909607
449	0.4166316412
450	0.4165890501
451	0.4165351581
452	0.41649201452453	0.41647103453454	0.41641075454455	0.41636482455456	0.41629755456457	0.41623986457458	0.4161984458	459	0.416155459	0460	0.416127460	0461	0.416098461	0462	0.41605462	0.463	0.41601463	0.464	0.41595464	0.465	0.41589465	0.466	0.41584466	0467	0.415790467	468	0.4157524468	469	0.4156779469	470	0.4156429786
471	0.4156188949
472	0.4155693241
473	0.4155280606
474	0.4154888055
475	0.4154436475	476	0.4154073476	477	0.4153572477	478	0.4153094478	479	0.4152576479	480	0.4152183480	481	0.4151994481	482	0.4151289482	483	0.4150658483	484	0.415040484	0485	0.415004485	0486	0.414963486	0487	0.414912487	0488	0.414864488	0489	0.414842489	0490	0.414814490	0491	0.414739491	0492	0.414698492	0493	0.414670493	0494	0.414604494	0495	0.414542495	0496	0.414505496	0497	0.414468497	0498	0.414424498	0499	0.414377499	0500	0.414323500	0501	0.414296501	0502	0.414260502	0503	0.414219503	0504	0.414158504	0505	0.414111505	0506	0.414057506	0507	0.414028507	0508	0.41396508	509	0.4139374509	510	0.4139016510	511	0.4138733511	512	0.4138326512	513	0.4137888513	514	0.4137494514	0.4109417548
515	516	0.4136746516	517	0.4136371517	518	0.4135907518	519	0.4135438519	520	0.4134982520	521	0.4134536521	522	0.4134138522	523	0.4133763523	524	0.4132990524	525	0.4132644525	526	0.4132072526527	0.41318072527528	0.4131505252529	0.41311518052530	0.41307669153531	0.41301303253532	0.412986713532	0.4102161437
533	0.4101723013
534	0.4101441419
535	0.4101062206
536	0.4100743779
537	0.4100336496
538	0.4100076375
539	0.409958213
540	0.4099145082
541	0.4098712234
542	0.4098483319
543	0.4098171764
544	0.4097738292
545	0.4097503638
546	0.4097106582
547	0.4096616413
548	0.4095936461
549	0.4095528618
550	0.4094925019
551552	0.41216137552553	0.41214291553554	0.41210628554555	0.4120760555	556	0.4120421556	557	0.4120119557	558	0.4119657558	559	0.4119170559560	0.41187992560561	0.41183646561562	0.41179745562	0.4090587593
563	0.4090230658
564	0.4089965175
565	0.4089706028
566	0.4089471808
567	0.4088795263
568	0.4088538889
569570	0.41147084570	0.4087687551
571	0.4087169646
572	0.4086675692
573	0.4086264008
574	0.4085671984
575	0.408509795
576	0.4084827608
577	0.4084603099
578	0.4084337897
579	0.4084058952
580	0.4083703953
581	0.4083235397
582	0.4082899408
583	0.4082351952
584	0.408193478
585	0.4081526575
586	0.4081194182
587	0.4080664459
588	0.4080196304
589	0.407974003
590	0.4079416013
591	0.4079130594
592	0.4078915561
59594	0.41056056594	0.4078117463
595	0.4077863923
596	0.4077414553
597	0.4077015375
598	0.4076588663
599	0.4076207422
600	0.4075902708
601	0.407556973
602	0.4075205945
603	0.4074832197
604	0.4074504155
605	0.407421733
606607	0.41010727607608	0.41007977608609	0.41002687609	0.4073058504
610	0.4072611554
611	0.4072308886
612	0.4072109073
613	0.4071875786
614	0.407150448
615	0.4071369615
616	0.4071080392
617	0.4070491205
618	0.4070206988
619	0.4069679448
620	0.4069216376
621	0.406876458
622	0.4068376319
623	0.4067987614
624	0.4067474922
625	0.4067095178
626	0.4066890689
627	0.4066353165
628	0.4066047485
629	0.4065783229
630	0.4065446067
631	0.4065125096
632	0.4064936822
633	0.4064615632
634	0.4064299292
635	0.4064018663
636	0.4063650694
637	0.4063357282
638	0.4063092545
639	0.4062586464
640	0.40622393696641	0.40618452316642	0.40614603346643	0.40610280426644	0.40607441586645	0.40601934376646	0.40597271966647	0.40594574176648	0.40590661516649	0.40588231956650	0.40585113626651	0.40583122256652	0.40579831976653	0.40576965946654	0.40575169016655	0.40572121986656	0.4056777901658	0.4082606688
659	0.4082212113
660	0.4081633722
661	0.4081296359
662	0.4081035125
663	0.4080832513
664	0.4080594126
665	0.4080193057
666	0.4079899687
667	0.4079718147
668	0.4079311091
669	0.4079143239
670	0.4078918744
671	0.4078451242
6671	0.40515531546672	0.40512234746673	0.40507257386674	0.405049843
675	0.4050138355
676	0.4049727089
677	0.4049261946
678	0.4049023845
679	0.4048611615
680	0.4048465989
681	0.4048208098
682	0.4048007151
683	0.4047656158
684	0.4047300306
685	0.4046886827
686	0.4046547899
687	0.4046305219
688	0.4045972936
689	0.4045764877
690	0.4045310146
691	0.4044905513
692	0.4044616452
693	0.4044268152
694	0.4044020934
695	0.4043605359
696	0.4043191639
697	0.4042939502
698	0.4042758607
699	0.4042473318
700	0.4042096843
701	0.40419001277702	0.40416246837703	0.404121677
704	0.4040732734
705	0.4040522562
707	0.406684346
708	0.4066460567
709	0.40662959
710	0.4065846102
711	0.4065470724
712	0.406505791
713	0.4064815801
714	0.4064473424
715	0.4064346582
716	0.4064089202
717	0.4063810871
718	0.406353219
719	0.4063091091
720	0.406271757
721	0.4062449956
722	0.4062268864
723	0.4061984771
724	0.4061566913
725	0.4061375458
726	0.4060996108
727	0.4060724916
728	0.4060467842
729	0.4060326292
730	0.4060079348
731	0.4059803874
732	0.4059644319
733	0.4059483671
734	0.4059340524
735	0.4059031927
736	0.4058779822
737	0.4058533371
738	0.4058206151
739	0.4057850501
740	0.4057543362
741	0.4057359935
742	0.4057206766
743	0.4057044031
744	0.4056782576
745	0.4056362606
746	0.4056170562
747	0.4055969761
748	0.4055859147
749	0.4055670613
750	0.4055350052
751	0.4054906875
752	0.4054452424
753	0.4054028071
754	0.4053854672
755	0.4053332106
756	0.4053165653
757	0.40529016
758	0.4052515591
759	0.4052296238
760	0.4051967839
761	0.4051620191
762	0.4051275523
763	0.4051032941
764	0.4050762962
765	0.4050598735
766	0.4050381261
767	0.4050028501
768	0.4049668403
769	0.4049380137
770	0.4049193483
771	0.4048777581
772	0.4048478799
773	0.4048202567
774	0.4048033581
775	0.4047919333
776	0.4047573694
777	0.4047305329
778	0.4046893779
779	0.4046623106
780	0.4046282535
781	0.4045958208
782	0.4045763011
783	0.4045341849
784	0.4045005777
785	0.4044818304
786	0.4044294046
787	0.4043948384
788	0.4043710155
7788	0.401634914
789	0.4015928252
790	0.4015682154
791	0.4015389694
792	0.4015081214
793	0.4014779233
794	0.401444268
795	0.4014074605
796	0.4013930086
797	0.40136486627798	0.40133630168799	0.40130812428800	0.40128361028801	0.40125898158802	0.40123703518803	0.40119987548804	0.40118686648805	0.4011719064807	0.403831131
808	0.4037938668
809	0.4037660399
810	0.4037414451
811	0.4037284173
812	0.4036858125
813	0.4036585757
814	0.4036215696
815	0.4035933669
816	0.4035583047
817	0.4035186446
818	0.4034948032
8818	0.4007933719820	0.4034376887
821	0.4034177036
822	0.4033838733
823	0.4033499707
824	0.4033078708
825	0.403273259
826	0.4032493046
827	0.4032253657
828	0.4032102912
829	0.403187542
830	0.4031736408
831	0.4031481391
832	0.4031188249
833832	0.4004258483833	0.40040543783834	0.4003643088835	0.400330742
836	0.40029073283837	0.40025913683838	0.40021158784839	0.40017506284840	0.4001535738841	0.40012703218842	0.40010149928843	0.40006501038844	0.40004435288845	0.40001002478846	0.39999625748847	0.39997178818848	0.39994688668849	0.39993192851850	0.39990562852851	0.3998707685852	0.39983548985853	0.39982001385854	0.39979677285855	0.39976806685856	0.39973366585857	0.3996849185858	0.39966799086859	0.39962632386860	0.39960814862861	0.3995837863	862	0.3995640864	863	0.3995420865	864	0.3995094866	865	0.3994798867	866	0.3994482868	867	0.3994367869868	0.39941050870869	0.39937996871870	0.39935455872871	0.399335873	0872	0.399312874	0873	0.399279875	0874	0.399266876	0875	0.39925877	0.876	0.39923878	0.877	0.39920879	0878	0.399167880	0879	0.399133881	0.4019075796
882	0.4018896134
883	0.4018536612
884	0883	0.399034885	0.4017995579
886	0.4017852222
887	0.4017496942
