iter	Passed	Remaining
0	120	120833
1	226	112954
2	310	103067
3	400	99717
4	492	98084
5	583	96681
6	715	101565
7	821	101863
8	940	103539
9	1081	107091
10	1195	107529
11	1304	107435
12	1404	106646
13	1501	105719
14	1590	104442
15	1721	105858
16	1794	103737
17	1886	102943
18	1959	101160
19	2036	99790
20	2128	99215
21	2222	98805
22	2317	98422
23	2408	97963
24	2505	97710
25	2598	97336
26	2831	102022
27	2995	103989
28	3081	103182
29	3187	103071
30	3307	103376
31	3396	102749
32	3486	102160
33	3595	102146
34	3728	102806
35	3829	102546
36	3922	102079
37	4017	101715
38	4105	101164
39	4195	100692
40	4262	99640	41	4357	99404142	4445	98939443	4536	98567
44	4640	98486
45	4737	98241
46	4826	97855
47	4918	97555
48	5086	98715
49	5212	99032
50	5311	98843
51	5408	98592
52	5502	98316
53	5598	98070
54	5731	98485
55	5840	98446
56	5942	98319
57	6049	98251
58	6170	98422
59	6273	98285
60	6375	98147
61	6486	98130
62	6545	97350
63	6668	97526
64	6766	97339
65	6858	97060
66	6994	97406
67	7166	98228
68	7299	98495
69	7390	98181
70	7502	98168
71	7621	98229
72	7746	98370
73	7855	98304
74	7956	98136
75	8055	97935
76	8154	97751
77	8273	97794
78	8405	97992
79	8514	97919
80	8651	98152
81	8752	97985
82	8815	97394
83	8906	97126
84	9013	97029
85	9118	96907
86	9219	96747
87	9322	96615
88	9427	96494
89	9540	96461
90	9676	96660
91	9783	96557
92	9899	96550
93	10001	96400
94	10121	96421
95	10225	96291
96	10354	96395
97	10468	96349
98	10584	96332
99	10726	96538
100	10837	96468
101	10936	96287
102	11034	96092
103	11108	95702
104	11203	95498
105	11311	95402
106	11400	95148
107	11527	95205
108	11658	95297
109	11769	95225
110	11866	95041
111	11966	94880
112	12063	94696
113	12163	94530
114	12250	94273
115	12346	94087
116	12435	93854
117	12530	93663
118	12671	93811
119	12857	94290
120	13006	94486
121	13098	94265
122	13197	94095
123	13290	93887
124	13390	93734
125	13462	93381
126	13556	93187
127	13672	93145
128	13766	92948
129	13889	92950
130	13993	92825
131	14107	92769
132	14205	92600
133	14311	92489
134	14410	92336
135	14511	92189
136	14606	92007
137	14731	92021
138	14825	91829
139	14922	91664
140	15023	91523
141	15122	91375
142	15209	91153
143	15301	90957
144	15386	90729
145	15476	90526
146	15567	90335
147	15646	90073
148	15730	89843
149	15867	89915
150	16041	90192
151	16146	90078
152	16260	90018
153	16356	89855
154	16445	89654
155	16534	89455
156	16644	89371
157	16741	89219
158	16846	89108
159	16964	89062
160	17087	89044
161	17193	88937
162	17315	88915
163	17460	89008
164	17586	89000
165	17731	89083
166	17824	88910
167	17922	88759
168	17997	88496
169	18095	88350
170	18184	88159
171	18281	88004
172	18403	87977
173	18513	87887
174	18634	87849
175	18759	87828
176	18853	87663
177	18952	87524
178	19050	87375
179	19145	87219
180	19237	87048
181	19328	86869
182	19422	86711
183	19524	86589
184	19647	86555
185	19747	86422
186	19840	86258
187	19934	86100
188	20034	85968
189	20167	85977
190	20309	86024
191	20364	85700
192	20426	85410
193	20489	85128
194	20581	84962
195	20693	84885
196	20785	84726
197	20880	84578
198	20974	84423
199	21088	84353
200	21181	84199
201	21269	84026
202	21368	83894
203	21476	83799
204	21564	83629
205	21718	83710
206	21818	83583
207	21910	83429
208	22002	83271
209	22103	83151
210	22201	83019
211	22338	83031
212	22437	82901
213	22527	82740
214	22643	82675
215	22759	82608
216	22818	82335
217	22916	82205
218	23009	82056
219	23112	81942
220	23220	81850
221	23313	81703
222	23437	81662
223	23528	81510
224	23638	81421
225	23736	81291
226	23831	81153
227	23935	81045
228	24025	80889
229	24126	80771
230	24234	80675
231	24324	80523
232	24421	80390
233	24529	80297
234	24687	80367
235	24797	80277
